danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0.551,0.643,4,-13.091,1,0.0353,0.00313,0.00385,0.421,0.514,128.661,4JGKZS7h4Qa16gOU3oNETV
0.46,0.0491,3,-24.015,1,0.0312,0.943,0.289,0.111,0.183,95.99,6mCWbMMxaK5FsCpI9jNQUb
0.729,0.731,4,-4.823,1,0.0682,0.235,1.35e-06,0.391,0.838,138.204,6fR6Z0Vc1K6yQWNUIKjAIR
0.396,0.652,6,-7.237,0,0.0272,0.0851,0.0986,0.132,0.551,144.72,5y8vWKsOjVZXtdgi8xkaCD
0.578,0.678,10,-4.965,1,0.0338,0.0173,0.00013,0.106,0.425,149.819,4zLc6hMcOkRsGq0o19IFrC
0.326,0.404,10,-10.786,1,0.0383,0.741,2.8e-05,0.0738,0.269,77.628,0EoocgRhW9U7PI8fVpIgWh
0.512,0.525,5,-6.823,1,0.0401,0.327,3.3e-06,0.081,0.294,169.951,4kbz7rHVbyjKasuuqelccQ
0.521,0.441,0,-11.176,0,0.0248,0.232,0.149,0.362,0.238,75.221,236mI0lz8JdQjlmijARSwY
0.215,0.22,2,-13.078,0,0.0354,0.899,0.0594,0.141,0.0394,86.438,4G3tv0qZ4W20ZOvOb02o4P
0.775,0.562,10,-11.246,0,0.025,0.0655,0.153,0.0747,0.939,114.527,651In9fY9BregQWY0cF7l2
0.21,0.346,4,-12.069,0,0.0299,0.252,0.336,0.247,0.22,79.026,3D1Xnj2Q7oh7Vz3RH9fDvC
0.319,0.309,9,-11.944,0,0.0257,0.822,2.26e-06,0.0893,0.339,143.075,04e1VQ69ll2TR5Jp8F2n5B
0.394,0.547,2,-9.276,1,0.0383,0.436,0.000111,0.344,0.151,181.74,6c9nkeetGbsoXa7d5E1wHa
0.572,0.51,5,-9.99,1,0.0308,0.0329,0.103,0.163,0.188,103.973,2ejkRnZWPACfuqr06gFw1w
0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253,1ixbwbeBi5ufN4noUKmW5a
0.518,0.378,10,-9.995,1,0.0342,0.759,0.0,0.0883,0.518,113.541,6ArficY3dtVMWYkyTYkAJP
0.386,0.345,1,-9.249,0,0.0301,0.605,0.000334,0.113,0.0951,114.217,29U3UAoJsWlxb2i5GWpoLR
0.511,0.379,11,-11.3,1,0.0393,0.255,0.0,0.464,0.611,76.658,2bsgmN8S7r2qBgiV8z8iWO
0.333,0.572,2,-6.455,0,0.0302,0.00885,0.0,0.102,0.0707,110.402,2VPK0BMgwyRtx9QlyBpdb0
0.589,0.699,1,-5.883,0,0.0291,0.285,8.11e-05,0.0881,0.496,145.997,6t1ahr2f1t9iSjjNFwFb4C
0.621,0.713,10,-7.226,1,0.102,0.605,8.28e-06,0.103,0.609,78.022,607EA1HsuzrqqaPuxyNqpD
0.397,0.207,0,-13.155,1,0.0331,0.701,3.07e-05,0.116,0.268,171.282,2A6yzRGMgSQCUapR2ptm6A
0.551,0.291,5,-12.544,1,0.0283,0.434,3.78e-05,0.11,0.0823,119.005,5932kbyNt445gDTT2chRUS
0.546,0.217,10,-12.856,1,0.0278,0.869,1.07e-06,0.115,0.17,97.38,7mWg0rCwMkuqyhddnZClCE
0.567,0.492,11,-11.658,0,0.026,0.00439,0.0233,0.123,0.312,100.043,0SUtPSXuF57zK7CGQwRzgu
0.549,0.615,2,-10.688,1,0.0281,0.00602,0.0,0.259,0.403,136.268,3pOrSBBROCUhA3mDiJRGk3
0.522,0.744,8,-8.175,1,0.0371,0.027,0.682,0.0599,0.333,109.788,5WeMMlylGCVGc0ChHSysJA
0.375,0.395,0,-11.951,1,0.0277,0.738,0.00588,0.507,0.202,63.724,40w5KzJx6pS9J4hIEQDgIa
